pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,791.4093046536565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,791.4478123196315
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,791.1335002530981
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,790.9267566339639
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,790.6450636380038
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,790.2644183327234
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,789.9291986055698
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,789.6931085449596
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,789.4276954396872
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,789.1514718529879
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,788.8940789060312
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,788.8578519503673
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,790.0706577462765
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,789.7664148136877
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,789.4783936391947
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,789.5025279436505
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,789.387667804112
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,789.018529721741
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,788.4050898211993
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,788.4050898211993
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,788.0732354969325
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,788.1328688546778
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,787.4224765918178
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,783.7298658196135
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,783.3925077094356
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,781.3985803210295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,781.4506926795024
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,780.9397117260207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,782.5511368804422
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,785.1219686033401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,792.5747080604938
