pickup,delivery,distance,equipment,weight,date,predicted_rate,xgb_predicted_rate,ebm_predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,791.0242332500327,801.7773342132568,780.2711322868086
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,792.6876207359537,805.2235221862793,780.1517192856282
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,790.5660075936696,801.1366081237793,779.9954070635599
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,790.4860511002166,801.1366081237793,779.8354940766541
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,790.4302961335643,801.1366081237793,779.7239841433493
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,790.7103273262953,801.8406772613525,779.579977391238
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,790.5466764926374,801.8406772613525,779.2526757239223
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,790.6395962940732,801.8406772613525,779.4385153267938
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,790.5641340916028,801.8406772613525,779.287590921853
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,790.5905732761368,801.8406772613525,779.340469290921
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,790.4820208181997,801.8406772613525,779.1233643750468
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,790.4219021786635,801.8406772613525,779.0031270959743
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,792.5856771672642,801.8406772613525,783.3306770731758
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,792.0756458466159,800.7767200469971,783.3745716462347
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,792.1649009176947,800.7767200469971,783.5530817883922
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,792.1538428766064,800.7767200469971,783.5309657062157
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,792.048082781579,800.7767200469971,783.3194455161608
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,791.9741798595879,800.7767200469971,783.1716396721788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,790.5311710837505,799.9006462097168,781.161695957784
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,790.3507579667657,799.9006462097168,780.8008697238147
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,790.2736631567689,799.9006462097168,780.6466801038209
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,790.3084372278779,799.9006462097168,780.716228246039
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,790.1206064585692,799.9006462097168,780.3405667074215
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,788.3092623138567,799.2887592315674,777.3297653961461
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,788.1218783991052,799.2887592315674,776.954997566643
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,787.1643018589214,799.2887592315674,775.0398444862753
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,786.9736157231132,799.2887592315674,774.6584722146589
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,786.9006237155737,799.2887592315674,774.51248819958
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,787.8657420244188,799.2887592315674,776.4427248172702
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,790.1455558856964,799.916353225708,780.3747585456847
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,794.3883640217693,799.916353225708,788.8603748178307
