pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,804.0843772888184
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,804.0843772888184
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,804.0843772888184
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,802.946605682373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,800.8494186401367
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,800.8494186401367
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,800.8494186401367
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,800.8494186401367
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,800.8494186401367
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,800.2775287628174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,800.2775287628174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,800.2775287628174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,800.2775287628174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,800.2775287628174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,800.2775287628174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,800.2775287628174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,800.2775287628174
