pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,804.6472381496541
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,804.3922212872719
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,804.1451125877059
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,803.9059852745962
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,803.6749102065269
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,803.4519558560273
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,803.2371882892836
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,803.0306711465607
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,802.832465623345
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,802.6426304522107
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,802.4612218854159
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,802.288293678234
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,802.1238970730251
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,801.9680807840514
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,801.8208909830417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,801.6823712855107
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,801.5525627378347
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,801.4315038050875
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,801.3192303596436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,801.2157756705482
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,801.121170393658
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,801.0354425625586
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,800.9586175802561
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,800.8907182116516
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,800.8317645767926
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,800.7817741449137
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,800.7407617292588
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,800.7087394826917
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,800.6857168940952
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,800.6717007855593
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,800.6666953103595
